v8-version,6,1,534,50,0
shared-library,"C:\Program Files\nodejs\node.exe",0x7ff6d0a20000,0x7ff6d203a000,0
shared-library,"C:\WINDOWS\SYSTEM32\ntdll.dll",0x7ffc2b650000,0x7ffc2b830000,0
shared-library,"C:\WINDOWS\System32\KERNEL32.DLL",0x7ffc29390000,0x7ffc2943e000,0
shared-library,"C:\WINDOWS\System32\KERNELBASE.dll",0x7ffc284c0000,0x7ffc28726000,0
shared-library,"C:\WINDOWS\SYSTEM32\apphelp.dll",0x7ffc251e0000,0x7ffc25268000,0
shared-library,"C:\WINDOWS\System32\WS2_32.dll",0x7ffc2af90000,0x7ffc2affc000,0
shared-library,"C:\WINDOWS\System32\RPCRT4.dll",0x7ffc2ae70000,0x7ffc2af8f000,0
shared-library,"C:\WINDOWS\System32\GDI32.dll",0x7ffc2b550000,0x7ffc2b578000,0
shared-library,"C:\WINDOWS\SYSTEM32\dbghelp.dll",0x7ffc26330000,0x7ffc264f8000,0
shared-library,"C:\WINDOWS\System32\ucrtbase.dll",0x7ffc28920000,0x7ffc28a16000,0
shared-library,"C:\WINDOWS\System32\gdi32full.dll",0x7ffc27a50000,0x7ffc27be3000,0
shared-library,"C:\WINDOWS\System32\msvcp_win.dll",0x7ffc27bf0000,0x7ffc27c8b000,0
shared-library,"C:\WINDOWS\System32\USER32.dll",0x7ffc2b0b0000,0x7ffc2b23f000,0
shared-library,"C:\WINDOWS\System32\win32u.dll",0x7ffc28900000,0x7ffc28920000,0
shared-library,"C:\WINDOWS\System32\ADVAPI32.dll",0x7ffc2b000000,0x7ffc2b0a1000,0
shared-library,"C:\WINDOWS\System32\msvcrt.dll",0x7ffc2b580000,0x7ffc2b61d000,0
shared-library,"C:\WINDOWS\System32\sechost.dll",0x7ffc2adb0000,0x7ffc2ae0b000,0
shared-library,"C:\WINDOWS\System32\PSAPI.DLL",0x7ffc28b60000,0x7ffc28b68000,0
shared-library,"C:\WINDOWS\SYSTEM32\WINMM.dll",0x7ffc1eb80000,0x7ffc1eba3000,0
shared-library,"C:\WINDOWS\SYSTEM32\WINMMBASE.dll",0x7ffc1e9e0000,0x7ffc1ea0a000,0
shared-library,"C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL",0x7ffc26fc0000,0x7ffc26ff9000,0
shared-library,"C:\WINDOWS\SYSTEM32\USERENV.dll",0x7ffc278d0000,0x7ffc278f9000,0
shared-library,"C:\WINDOWS\System32\cfgmgr32.dll",0x7ffc28ad0000,0x7ffc28b1a000,0
shared-library,"C:\WINDOWS\System32\profapi.dll",0x7ffc279f0000,0x7ffc27a0b000,0
shared-library,"C:\WINDOWS\System32\IMM32.DLL",0x7ffc28b30000,0x7ffc28b5d000,0
shared-library,"C:\WINDOWS\System32\combase.dll",0x7ffc2b240000,0x7ffc2b548000,0
shared-library,"C:\WINDOWS\System32\bcryptPrimitives.dll",0x7ffc28440000,0x7ffc284b2000,0
shared-library,"C:\WINDOWS\System32\powrprof.dll",0x7ffc279a0000,0x7ffc279ec000,0
shared-library,"C:\WINDOWS\system32\mswsock.dll",0x7ffc27230000,0x7ffc27296000,0
shared-library,"C:\WINDOWS\System32\kernel.appcore.dll",0x7ffc27a30000,0x7ffc27a41000,0
profiler,"begin",1000
tick,0x7ffc2b6efec4,130564,0,0x0,4
tick,0x7ffc2b6f0504,136060,0,0x0,4
tick,0x7ffc2b6f0384,153740,0,0x0,4
tick,0x7ffc2939109f,170384,0,0x0,4
tick,0x7ff6d0a327be,187031,0,0x0,4
code-creation,Stub,3,190354,0x7bdf584000,510,"JSEntryStub"
code-creation,Stub,3,190379,0x7bdf584200,510,"JSEntryStub"
code-creation,Builtin,5,190385,0x7bdf584400,134,"EmptyFunction"
code-creation,Stub,3,190390,0x7bdf5844a0,388,"CEntryStub"
code-creation,Builtin,5,190393,0x7bdf584640,139,"ConstructedNonConstructable"
code-creation,Stub,3,190396,0x7bdf5846e0,388,"CEntryStub"
code-creation,Builtin,5,190399,0x7bdf584880,933,"CompileLazy"
code-creation,Stub,3,190403,0x7bdf584c40,1378,"RecordWriteStub"
code-creation,Stub,3,190407,0x7bdf5851c0,170,"StoreBufferOverflowStub"
code-creation,Stub,3,190409,0x7bdf585280,1394,"RecordWriteStub"
code-creation,Builtin,5,190413,0x7bdf585800,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,190416,0x7bdf585980,1085,"FastNewObject"
code-creation,Builtin,5,190419,0x7bdf585dc0,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,190422,0x7bdf585f20,2274,"RecordWriteStub"
code-creation,Stub,3,190425,0x7bdf586820,390,"StoreBufferOverflowStub"
code-creation,Stub,3,190428,0x7bdf5869c0,2325,"RecordWriteStub"
code-creation,Stub,3,190432,0x7bdf5872e0,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,190434,0x7bdf587360,2303,"RecordWriteStub"
code-creation,Stub,3,190438,0x7bdf587c60,2261,"RecordWriteStub"
code-creation,Stub,3,190441,0x7bdf588540,2265,"RecordWriteStub"
code-creation,Stub,3,190444,0x7bdf588e20,2277,"RecordWriteStub"
code-creation,Stub,3,190447,0x7bdf589720,2292,"RecordWriteStub"
code-creation,Stub,3,190486,0x7bdf58a020,2300,"RecordWriteStub"
code-creation,Stub,3,190492,0x7bdf58a920,2262,"RecordWriteStub"
code-creation,Stub,3,190495,0x7bdf58b200,2258,"RecordWriteStub"
code-creation,Stub,3,190498,0x7bdf58bae0,2262,"RecordWriteStub"
code-creation,Stub,3,190501,0x7bdf58c3c0,2261,"RecordWriteStub"
code-creation,Handler,4,190505,0x7bdf58cca0,732,"An IC handler from the snapshot"
code-creation,Stub,3,190508,0x7bdf58cf80,2262,"RecordWriteStub"
code-creation,Stub,3,190511,0x7bdf58d860,2300,"RecordWriteStub"
code-creation,Stub,3,190514,0x7bdf58e160,699,"TransitionElementsKindStub"
code-creation,Stub,3,190517,0x7bdf58e420,978,"RecordWriteStub"
code-creation,Stub,3,190520,0x7bdf58e800,2250,"RecordWriteStub"
code-creation,Stub,3,190523,0x7bdf58f0e0,408,"CEntryStub"
code-creation,Stub,3,190526,0x7bdf58f280,990,"RecordWriteStub"
code-creation,Stub,3,190529,0x7bdf58f660,1002,"RecordWriteStub"
code-creation,Stub,3,190532,0x7bdf58fa60,2296,"RecordWriteStub"
code-creation,Stub,3,190535,0x7bdf590360,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190539,0x7bdf5904a0,1381,"RecordWriteStub"
code-creation,Stub,3,190542,0x7bdf590a20,2261,"RecordWriteStub"
code-creation,Stub,3,190544,0x7bdf591300,2261,"RecordWriteStub"
code-creation,Stub,3,190548,0x7bdf591be0,2261,"RecordWriteStub"
code-creation,Stub,3,190551,0x7bdf5924c0,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190554,0x7bdf5926a0,1019,"CallICStub"
code-creation,Builtin,5,190557,0x7bdf592aa0,384,"CallFunction_ReceiverIsAny"
